anime_id,name,type,episodes,rating,token
32281,Kimi no Na wa.,Movie,1,9.37,kimi no na wa. drama romanc school supernatur movi
5114,Fullmetal Alchemist: Brotherhood,TV,64,9.26,fullmet alchemist: brotherhood action adventur drama fantasi magic militari shounen tv
28977,Gintama°,TV,51,9.25,gintama° action comedi histor parodi samurai sci-fi shounen tv
9253,Steins;Gate,TV,24,9.17,steins;gat sci-fi thriller tv
9969,Gintama&#039;,TV,51,9.16,gintama&#039; action comedi histor parodi samurai sci-fi shounen tv
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,10,9.15,haikyuu!!: karasuno koukou vs shiratorizawa gakuen koukou comedi drama school shounen sport tv
11061,Hunter x Hunter (2011),TV,148,9.13,hunter x hunter (2011) action adventur shounen super power tv
820,Ginga Eiyuu Densetsu,OVA,110,9.11,ginga eiyuu densetsu drama militari sci-fi space ova
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,9.1,gintama movie: kanketsu-hen - yorozuya yo eien nare action comedi histor parodi samurai sci-fi shounen movi
15417,Gintama&#039;: Enchousen,TV,13,9.11,gintama&#039;: enchousen action comedi histor parodi samurai sci-fi shounen tv
4181,Clannad: After Story,TV,24,9.06,clannad: after stori drama fantasi romanc slice of life supernatur tv
28851,Koe no Katachi,Movie,1,9.05,koe no katachi drama school shounen movi
918,Gintama,TV,201,9.04,gintama action comedi histor parodi samurai sci-fi shounen tv
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,8.98,code geass: hangyaku no lelouch r2 action drama mecha militari sci-fi super power tv
28891,Haikyuu!! Second Season,TV,25,8.93,haikyuu!! second season comedi drama school shounen sport tv
199,Sen to Chihiro no Kamikakushi,Movie,1,8.93,sen to chihiro no kamikakushi adventur drama supernatur movi
23273,Shigatsu wa Kimi no Uso,TV,22,8.92,shigatsu wa kimi no uso drama music romanc school shounen tv
24701,Mushishi Zoku Shou 2nd Season,TV,10,8.88,mushishi zoku shou 2nd season adventur fantasi histor mysteri seinen slice of life supernatur tv
12355,Ookami Kodomo no Ame to Yuki,Movie,1,8.84,ookami kodomo no ame to yuki fantasi slice of life movi
1575,Code Geass: Hangyaku no Lelouch,TV,25,8.83,code geass: hangyaku no lelouch action mecha militari school sci-fi super power tv
263,Hajime no Ippo,TV,75,8.83,hajim no ippo comedi drama shounen sport tv
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,8.83,rurouni kenshin: meiji kenkaku romantan - tsuioku-hen action drama histor martial art romanc samurai ova
1,Cowboy Bebop,TV,26,8.82,cowboy bebop action adventur comedi drama sci-fi space tv
30276,One Punch Man,TV,12,8.82,one punch man action comedi parodi sci-fi seinen super power supernatur tv
164,Mononoke Hime,Movie,1,8.81,mononok hime action adventur fantasi movi
7311,Suzumiya Haruhi no Shoushitsu,Movie,1,8.81,suzumiya haruhi no shoushitsu comedi mysteri romanc school sci-fi supernatur movi
17074,Monogatari Series: Second Season,TV,26,8.8,monogatari series: second season comedi mysteri romanc supernatur vampir tv
21939,Mushishi Zoku Shou,TV,10,8.8,mushishi zoku shou adventur fantasi histor mysteri seinen slice of life supernatur tv
457,Mushishi,TV,26,8.78,mushishi adventur fantasi histor mysteri seinen slice of life supernatur tv
2001,Tengen Toppa Gurren Lagann,TV,27,8.78,tengen toppa gurren lagann action adventur comedi mecha sci-fi tv
245,Great Teacher Onizuka,TV,43,8.77,great teacher onizuka comedi drama school shounen slice of life tv
32983,Natsume Yuujinchou Go,TV,13,8.76,natsum yuujinch go drama fantasi shoujo slice of life supernatur tv
5258,Hajime no Ippo: New Challenger,TV,26,8.75,hajim no ippo: new challeng comedi drama shounen sport tv
28957,Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,8.75,mushishi zoku shou: suzu no shizuku adventur fantasi histor mysteri seinen slice of life supernatur movi
11665,Natsume Yuujinchou Shi,TV,13,8.75,natsum yuujinch shi drama fantasi shoujo slice of life supernatur tv
431,Howl no Ugoku Shiro,Movie,1,8.74,howl no ugoku shiro adventur drama fantasi romanc movi
11741,Fate/Zero 2nd Season,TV,12,8.73,fate/zero 2nd season action fantasi supernatur thriller tv
31757,Kizumonogatari II: Nekketsu-hen,Movie,1,8.73,kizumonogatari ii: nekketsu-hen action mysteri supernatur vampir movi
19,Monster,TV,74,8.72,monster drama horror mysteri polic psycholog seinen thriller tv
12365,Bakuman. 3rd Season,TV,25,8.71,bakuman. 3rd season comedi drama romanc shounen tv
1535,Death Note,TV,37,8.71,death note mysteri polic psycholog supernatur thriller tv
32366,Gintama°: Aizome Kaori-hen,OVA,2,8.69,gintama°: aizom kaori-hen comedi parodi ova
30654,Ansatsu Kyoushitsu (TV) 2nd Season,TV,25,8.68,ansatsu kyoushitsu (tv) 2nd season action comedi school shounen tv
20583,Haikyuu!!,TV,25,8.68,haikyuu!! comedi drama school shounen sport tv
19647,Hajime no Ippo: Rising,TV,25,8.68,hajim no ippo: rise comedi drama shounen sport tv
4282,Kara no Kyoukai 5: Mujun Rasen,Movie,1,8.68,kara no kyoukai 5: mujun rasen action drama mysteri romanc supernatur thriller movi
10379,Natsume Yuujinchou San,TV,13,8.67,natsum yuujinch san drama fantasi shoujo slice of life supernatur tv
22135,Ping Pong The Animation,TV,11,8.67,ping pong the anim psycholog seinen sport tv
21329,Mushishi Special: Hihamukage,Special,1,8.66,mushishi special: hihamukag adventur fantasi histor mysteri seinen slice of life supernatur special
31043,Boku dake ga Inai Machi,TV,12,8.65,boku dake ga inai machi mysteri psycholog seinen supernatur tv
7785,Yojouhan Shinwa Taikei,TV,11,8.65,yojouhan shinwa taikei mysteri psycholog romanc tv
3297,Aria The Origination,TV,13,8.64,aria the origin fantasi sci-fi shounen slice of life tv
30709,Kamisama Hajimemashita: Kako-hen,OVA,4,8.64,kamisama hajimemashita: kako-hen comedi demon fantasi shoujo supernatur ova
6114,Rainbow: Nisha Rokubou no Shichinin,TV,26,8.64,rainbow: nisha rokub no shichinin drama histor seinen thriller tv
31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,8.64,re:zero kara hajimeru isekai seikatsu drama fantasi psycholog thriller tv
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Movie,1,8.64,tengen toppa gurren lagann movie: lagann-hen action mecha sci-fi space super power movi
5300,Zoku Natsume Yuujinchou,TV,13,8.64,zoku natsum yuujinch drama fantasi shoujo slice of life supernatur tv
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,8.62,ano hi mita hana no nama wo bokutachi wa mada shiranai. drama slice of life supernatur tv
24415,Kuroko no Basket 3rd Season,TV,25,8.62,kuroko no basket 3rd season comedi school shounen sport tv
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,8.61,steins;gat movie: fuka ryouiki no déjà vu sci-fi thriller movi
10408,Hotarubi no Mori e,Movie,1,8.61,hotarubi no mori e drama romanc shoujo supernatur movi
28171,Shokugeki no Souma,TV,24,8.61,shokugeki no souma ecchi school shounen tv
32995,Yuri!!! on Ice,TV,12,8.61,yuri!!! on ice comedi sport tv
21899,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,8.6,gintama: yorinuki gintama-san on theater 2d action comedi histor parodi samurai sci-fi shounen movi
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,8.6,jojo no kimyou na bouken: stardust crusad 2nd season action adventur drama shounen supernatur tv
7472,Gintama Movie: Shinyaku Benizakura-hen,Movie,1,8.59,gintama movie: shinyaku benizakura-hen action comedi histor parodi samurai sci-fi shounen movi
777,Hellsing Ultimate,OVA,10,8.59,hells ultim action horror militari seinen supernatur vampir ova
22535,Kiseijuu: Sei no Kakuritsu,TV,24,8.59,kiseijuu: sei no kakuritsu action drama horror psycholog sci-fi seinen tv
28735,Shouwa Genroku Rakugo Shinjuu,TV,13,8.59,shouwa genroku rakugo shinjuu drama histor josei tv
12431,Uchuu Kyoudai,TV,99,8.59,uchuu kyoudai comedi sci-fi seinen slice of life space tv
28805,Bakemono no Ko,Movie,1,8.58,bakemono no ko adventur supernatur movi
578,Hotaru no Haka,Movie,1,8.58,hotaru no haka drama histor movi
16894,Kuroko no Basket 2nd Season,TV,25,8.58,kuroko no basket 2nd season comedi school shounen sport tv
5028,Major S5,TV,25,8.58,major s5 comedi drama romanc sport tv
21,One Piece,TV,Unknown,8.58,one piec action adventur comedi drama fantasi shounen super power tv
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,8.57,ghost in the shell: stand alon complex 2nd gig action mecha militari mysteri polic sci-fi seinen tv
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,8.57,jojo no kimyou na bouken: diamond wa kudakenai action adventur comedi drama shounen supernatur tv
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Movie,1,8.57,kara no kyoukai 7: satsujin kousatsu (kou) action mysteri romanc supernatur thriller movi
17389,Kingdom 2nd Season,TV,39,8.57,kingdom 2nd season action histor militari seinen tv
170,Slam Dunk,TV,101,8.56,slam dunk comedi drama school shounen sport tv
10162,Usagi Drop,TV,11,8.56,usagi drop josei slice of life tv
18617,Girls und Panzer der Film,Movie,1,8.55,girl und panzer der film militari school movi
32182,Mob Psycho 100,TV,12,8.55,mob psycho 100 action comedi slice of life supernatur tv
877,Nana,TV,47,8.55,nana comedi drama music romanc shoujo slice of life tv
2251,Baccano!,TV,13,8.54,baccano! action comedi histor mysteri seinen supernatur tv
24687,Mushishi Zoku Shou: Odoro no Michi,Special,1,8.54,mushishi zoku shou: odoro no michi adventur fantasi histor mysteri seinen slice of life supernatur special
16498,Shingeki no Kyojin,TV,25,8.54,shingeki no kyojin action drama fantasi shounen super power tv
10030,Bakuman. 2nd Season,TV,25,8.53,bakuman. 2nd season comedi drama romanc shounen tv
5941,Cross Game,TV,50,8.53,cross game comedi drama romanc school sport tv
30346,Doukyuusei (Movie),Movie,1,8.53,doukyuusei (movie) romanc school shounen ai slice of life movi
3784,Evangelion: 2.0 You Can (Not) Advance,Movie,1,8.53,evangelion: 2.0 you can (not) advanc action mecha sci-fi movi
13125,Shinsekai yori,TV,25,8.53,shinsekai yori drama horror mysteri sci-fi supernatur tv
12029,Uchuu Senkan Yamato 2199,OVA,26,8.53,uchuu senkan yamato 2199 action drama militari sci-fi space ova
14397,Chihayafuru 2,TV,25,8.52,chihayafuru 2 drama game josei slice of life sport tv
10087,Fate/Zero,TV,13,8.51,fate/zero action fantasi supernatur tv
14719,JoJo no Kimyou na Bouken (TV),TV,26,8.51,jojo no kimyou na bouken (tv) action adventur shounen supernatur vampir tv
9756,Mahou Shoujo Madoka★Magica,TV,12,8.51,mahou shoujo madoka★magica drama magic psycholog thriller tv
10165,Nichijou,TV,26,8.52,nichij comedi school slice of life tv
13601,Psycho-Pass,TV,22,8.5,psycho-pass action polic psycholog sci-fi tv
22789,Barakamon,TV,12,8.5,barakamon comedi slice of life tv
30230,Diamond no Ace: Second Season,TV,51,8.5,diamond no ace: second season comedi school shounen sport tv
18115,Magi: The Kingdom of Magic,TV,25,8.5,magi: the kingdom of magic action adventur fantasi magic shounen tv
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,8.5,mahou shoujo madoka★magica movi 3: hangyaku no monogatari drama magic psycholog thriller movi
11917,Major: World Series,OVA,2,8.5,major: world seri comedi drama sport ova
205,Samurai Champloo,TV,26,8.5,samurai champloo action adventur comedi histor samurai shounen tv
32282,Shokugeki no Souma: Ni no Sara,TV,13,8.5,shokugeki no souma: ni no sara ecchi school shounen tv
6594,Katanagatari,TV,12,8.49,katanagatari action adventur histor martial art romanc tv
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,8.49,mahou shoujo madoka★magica movi 2: eien no monogatari drama magic psycholog thriller movi
7655,Major S6,TV,25,8.49,major s6 comedi drama sport tv
2246,Mononoke,TV,12,8.49,mononok demon fantasi histor horror mysteri seinen supernatur tv
25835,Shirobako,TV,24,8.49,shirobako comedi drama tv
2921,Ashita no Joe 2,TV,47,8.48,ashita no joe 2 drama sport tv
136,Hunter x Hunter,TV,62,8.48,hunter x hunter action adventur shounen super power tv
30503,Noragami Aragoto,TV,13,8.48,noragami aragoto action adventur shounen supernatur tv
12531,Sakamichi no Apollon,TV,12,8.48,sakamichi no apollon drama josei music romanc school tv
523,Tonari no Totoro,Movie,1,8.48,tonari no totoro adventur comedi supernatur movi
467,Ghost in the Shell: Stand Alone Complex,TV,26,8.47,ghost in the shell: stand alon complex action mecha militari polic sci-fi seinen tv
572,Kaze no Tani no Nausicaä,Movie,1,8.47,kaze no tani no nausicaä adventur fantasi movi
19815,No Game No Life,TV,12,8.47,no game no life adventur comedi ecchi fantasi game supernatur tv
2559,Romeo no Aoi Sora,TV,33,8.47,romeo no aoi sora adventur drama histor slice of life tv
392,Yuu☆Yuu☆Hakusho,TV,112,8.47,yuu☆yuu☆hakusho action comedi demon fantasi martial art school shounen tv
486,Kino no Tabi: The Beautiful World,TV,13,8.46,kino no tabi: the beauti world action adventur slice of life tv
11771,Kuroko no Basket,TV,25,8.46,kuroko no basket comedi school shounen sport tv
1698,Nodame Cantabile,TV,23,8.46,nodam cantabil comedi drama josei music romanc slice of life tv
5341,Ookami to Koushinryou II,TV,12,8.46,ookami to koushinry ii adventur fantasi histor romanc tv
25781,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,8.45,shingeki no kyojin: kuinaki sentaku action fantasi shoujo supernatur ova
10863,Steins;Gate: Oukoubakko no Poriomania,Special,1,8.46,steins;gate: oukoubakko no poriomania sci-fi thriller special
